Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Subtask,SHR-76,10331,[BE] API public results + ranking (chỉ trả khi OFFICIAL),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-75,10330,[FE] Trang Public lịch đua (Spectator / Guest),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-74,10329,[BE] API public lịch đua + Spring Cache (no auth),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-73,10328,[FE] Trang Admin publish kết quả (alt flow BR-05),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-72,10327,[BE] API Admin publish result + BR-05 guard + calculateGlobalRanking,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-71,10326,[FE] Trang Referee lập và submit biên bản (ReportForm),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-70,10325,[BE] Strategy Pattern: RankingStrategy + DefaultRankingStrategy (BR-03),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-69,10324,[BE] Entity RefereeReport + RaceResult + API submit + BR-05,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-68,10323,[FE] Trang ghi nhận vi phạm real-time (Referee),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-67,10322,[BE] Entity Violation + API CRUD vi phạm,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-66,10321,[FE] Trang Referee pre-race inspection (RefereeDashboard),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-65,10320,[BE] API pre-race horse inspection + BR-01 + inspectHorse(),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-64,10319,[BE] Scheduled Job BR-04 + validateDeadline() với mock Clock,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-63,10318,[FE] Trang Jockey phản hồi Invitation (InvitationPage),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-62,10317,[BE] API phản hồi Invitation + processResponse() + Notify Owner,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-61,10316,[FE] Trang Horse Owner gửi Invitation (HiringPage),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-60,10315,[BE] Entity Registration + processInvitation() + BR-02 + BR-04,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-59,10314,[FE] Trang Admin phân công trọng tài,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-58,10313,[BE] API phân công Referee + validate conflict + Notification,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-57,10312,[FE] Trang Admin tạo và quản lý Tournament,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-56,10311,[BE] API Tournament + Race CRUD + validateSchedule() + BR-03,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-55,10310,[BE] Entity Tournament + Race + Repository + Migration V3,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-54,10309,[FE] Trang Jockey Profile + lịch đua cá nhân,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-53,10308,[BE] Entity Jockey + API Profile + checkDailyRaceLimit BR-02,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-52,10307,[FE] Trang Admin duyệt hồ sơ ngựa,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-51,10306,[BE] API Admin approve/reject hồ sơ ngựa + Notification,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-50,10305,[FE] Trang Horse Management (Horse Owner),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-49,10304,[BE] API CRUD Horse (Horse Owner) + BR-01 validation,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:25 AM,
Subtask,SHR-48,10303,[BE] Entity Horse + HorseRepository + Migration V2,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Subtask,SHR-47,10302,[FE] Trang Admin quản lý User (DataTable + filter),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Subtask,SHR-46,10301,[BE] API CRUD User Management (Admin only),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Subtask,SHR-45,10300,[FE] Trang Register + Login + ProtectedRoute theo role,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Subtask,SHR-44,10299,[BE] Role-based Authorization @PreAuthorize trên endpoints,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Subtask,SHR-43,10298,[BE] Spring Security + JWT HttpOnly Cookie + Logout,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Subtask,SHR-42,10297,[BE] API POST /api/auth/register + email confirmation token,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Subtask,SHR-41,10296,[BE] Entity User + UserRepository + Flyway migration V1,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-40,10295,Integration Test: Full Race Lifecycle (BR-01 → BR-05),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-39,10294,Docker + docker-compose + CI/CD GitHub Actions + Deploy,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-38,10293,Khởi tạo project Spring Boot (Modular Monolith) + React,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-37,10292,Global Exception Handler + chuẩn hóa API Error Response,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-36,10291,Notification Service cho các sự kiện hệ thống,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-35,10290,Spectator xem kết quả và bảng xếp hạng real-time,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-34,10289,"Spectator xem lịch đua và thông tin giải đấu (public, no auth)",,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-33,10288,Admin công bố kết quả chính thức (BR-05 guard),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-32,10287,Race Referee lập biên bản và submit kết quả (BR-05),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-31,10286,Race Referee ghi nhận vi phạm trong quá trình đua,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-30,10285,Race Referee kiểm tra điều kiện ngựa trước đua (BR-01),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-29,10284,Auto-close đăng ký 48h trước đua + BR-04 guard (Scheduled Job),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-28,10283,Jockey xem và phản hồi lời mời tham gia đua,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-27,10282,Horse Owner gửi lời mời thuê Jockey (Invitation Flow),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-26,10281,Admin phân công trọng tài (Referee) cho vòng đua,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-25,10280,Admin tạo và quản lý giải đấu (Tournament + Race),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-24,10279,Jockey cập nhật hồ sơ và xem lịch đua cá nhân,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-23,10278,Admin duyệt / từ chối hồ sơ ngựa,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-22,10277,Horse Owner thêm và quản lý hồ sơ ngựa,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-21,10276,Admin quản lý tài khoản và phân quyền người dùng,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Story,SHR-20,10275,Đăng ký và xác thực tài khoản người dùng,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Epic,SHR-19,10274,"[Module 7] Infrastructure, DevOps & Testing",,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Epic,SHR-18,10273,[Module 6] Notifications & Cross-cutting Concerns,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Epic,SHR-17,10272,[Module 5] Public View & Spectator Features,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Epic,SHR-16,10271,[Module 4] Race Referee & Result Management,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Epic,SHR-15,10270,[Module 3] Tournament & Race Scheduling,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Epic,SHR-14,10269,[Module 2] Horse & Jockey Profile Management,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
Epic,SHR-13,10268,[Module 1] Authentication & User Management,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:24 AM,07/Jun/26 10:24 AM,
